Species,MSW2,MSW3,Country,native,Family,Genus,sex,PM4,CsupL,Lat,Long,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Quebec,native,Mustelidae,Mustela,Female,2.99,1.21,59.67,-77.58,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,3.00,1.21,64.83,-147.72,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.02,1.21,57.53,15.97,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.04,1.21,63.32,14.82,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Michigan,native,Mustelidae,Mustela,Female,3.10,1.21,42.27,-83.73,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Switzerland,native,Mustelidae,Mustela,Female,3.11,1.21,47.38,7.82,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Switzerland,native,Mustelidae,Mustela,Female,3.14,1.21,46.08,9.05,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Belgium,native,Mustelidae,Mustela,Female,3.19,1.21,50.30,5.47,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.25,1.21,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.29,1.21,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alberta,native,Mustelidae,Mustela,Female,NA,1.21,52.00,-111.12,,,,
Mustela erminea,Mustela erminea,Mustela erminea,South Dakota,native,Mustelidae,Mustela,Female,3.16,1.22,43.93,-103.57,,,,
Mustela erminea,Mustela erminea,Mustela erminea,California,native,Mustelidae,Mustela,Male,3.42,1.22,40.43,-121.52,,,,
Mustela erminea,Mustela erminea,Mustela erminea,New Mexico,native,Mustelidae,Mustela,Male,3.45,1.22,36.02,-106.95,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Ontario,native,Mustelidae,Mustela,Female,3.66,1.22,48.32,-89.28,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Vermont,native,Mustelidae,Mustela,Female,3.78,1.22,43.62,-72.98,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Russia,native,Mustelidae,Mustela,Female,2.85,1.22,68.53,160.93,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,North Dakota,native,Mustelidae,Mustela,Female,2.94,1.22,48.83,-100.75,,,,
